"filename", "language", "YAML", "Dart", "JSON", "Markdown", "Shell Script", "Ruby", "Gradle", "Java Properties", "XML", "Swift", "C++", "comment", "blank", "total"
"d:\projects\flutter\49-mobile-app\assets\lottie\warning.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\projects\flutter\49-mobile-app\assets\settings\New folder\contact_us_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\projects\flutter\49-mobile-app\assets\settings\New folder\dashbboard_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\projects\flutter\49-mobile-app\assets\settings\New folder\favorite_ad_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\projects\flutter\49-mobile-app\assets\settings\New folder\favorite_main_category_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\projects\flutter\49-mobile-app\assets\settings\New folder\favorite_sub_category_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\projects\flutter\49-mobile-app\assets\settings\New folder\lists_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\projects\flutter\49-mobile-app\assets\settings\New folder\my_ads_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\projects\flutter\49-mobile-app\assets\settings\New folder\privacy_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\projects\flutter\49-mobile-app\assets\settings\New folder\settings_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\projects\flutter\49-mobile-app\assets\settings\New folder\share_app_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\projects\flutter\49-mobile-app\assets\settings\New folder\sign_out_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\projects\flutter\49-mobile-app\assets\settings\New folder\wallet_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\projects\flutter\49-mobile-app\assets\translations\ar.json", "JSON", 0, 0, 1017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1024
"d:\projects\flutter\49-mobile-app\assets\translations\en.json", "JSON", 0, 0, 1032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1035
"d:\projects\flutter\49-mobile-app\devtools_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\projects\flutter\49-mobile-app\firebase.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\projects\flutter\49-mobile-app\generate.sh", "Shell Script", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 8, 6, 16
"d:\projects\flutter\49-mobile-app\ios\Podfile", "Ruby", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 2, 10, 48
"d:\projects\flutter\49-mobile-app\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"d:\projects\flutter\49-mobile-app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 8, 30
"d:\projects\flutter\49-mobile-app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122
"d:\projects\flutter\49-mobile-app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\projects\flutter\49-mobile-app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\projects\flutter\49-mobile-app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"d:\projects\flutter\49-mobile-app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\projects\flutter\49-mobile-app\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\projects\flutter\49-mobile-app\ios\firebase_app_id_file.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\projects\flutter\49-mobile-app\lib\common\functions\global\button_availability.dart", "Dart", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 45
