"filename", "language", "Dart", "comment", "blank", "total"
"d:\projects\flutter\49\49-mobile-app\lib\core\service\launcher_service.dart", "Dart", 74, 0, 15, 89
"d:\projects\flutter\49\49-mobile-app\lib\core\service\notification_service.dart", "Dart", 155, 47, 34, 236
"d:\projects\flutter\49\49-mobile-app\lib\core\service\share_img_service.dart", "Dart", 0, 15, 4, 19
"d:\projects\flutter\49\49-mobile-app\lib\core\service\share_service.dart", "Dart", 0, 11, 4, 15
"d:\projects\flutter\49\49-mobile-app\lib\core\service\socket_service.dart", "Dart", 147, 8, 50, 205
"d:\projects\flutter\49\49-mobile-app\lib\core\states\basic_otp_state.dart", "Dart", 44, 0, 7, 51
"d:\projects\flutter\49\49-mobile-app\lib\core\states\basic_state.dart", "Dart", 38, 0, 10, 48
"d:\projects\flutter\49\49-mobile-app\lib\core\themes\dark_theme.dart", "Dart", 61, 0, 3, 64
"d:\projects\flutter\49\49-mobile-app\lib\core\themes\light_theme.dart", "Dart", 56, 2, 3, 61
"d:\projects\flutter\49\49-mobile-app\lib\core\utils\calendar_event.dart", "Dart", 9, 5, 5, 19
"d:\projects\flutter\49\49-mobile-app\lib\core\utils\change_react.dart", "Dart", 153, 0, 1, 154
"d:\projects\flutter\49\49-mobile-app\lib\core\utils\ion_checker.dart", "Dart", 0, 59, 1, 60
"d:\projects\flutter\49\49-mobile-app\lib\core\utils\custom_printer.dart", "Dart", 31, 0, 10, 41
"d:\projects\flutter\49\49-mobile-app\lib\core\utils\date_helper.dart", "Dart", 25, 0, 5, 30
"d:\projects\flutter\49\49-mobile-app\lib\core\utils\device_id.dart", "Dart", 14, 0, 3, 17
"d:\projects\flutter\49\49-mobile-app\lib\core\utils\duration_helper.dart", "Dart", 9, 0, 1, 10
"d:\projects\flutter\49\49-mobile-app\lib\core\utils\fcm.dart", "Dart", 8, 0, 2, 10
"d:\projects\flutter\49\49-mobile-app\lib\core\utils\hex_color_helper.dart", "Dart", 12, 0, 4, 16
"d:\projects\flutter\49\49-mobile-app\lib\core\utils\localization_helper.dart", "Dart", 38, 5, 13, 56
"d:\projects\flutter\49\49-mobile-app\lib\core\utils\media_query_values.dart", "Dart", 7, 0, 2, 9
"d:\projects\flutter\49\49-mobile-app\lib\core\utils\navigator_helper.dart", "Dart", 229, 0, 27, 256
"d:\projects\flutter\49\49-mobile-app\lib\core\utils\pagination_controller.dart", "Dart", 1, 0, 1, 2
"d:\projects\flutter\49\49-mobile-app\lib\core\utils\type_defs.dart", "Dart", 8, 0, 2, 10
"d:\projects\flutter\49\49-mobile-app\lib\core\utils\url_helper.dart", "Dart", 14, 0, 3, 17
"d:\projects\flutter\49\49-mobile-app\lib\core\utils\validator.dart", "Dart", 82, 0, 14, 96
"d:\projects\flutter\49\49-mobile-app\lib\features\account_taps\account\data\datasources\account_remote_datasource.dart", "Dart", 51, 0, 9, 60
"d:\projects\flutter\49\49-mobile-app\lib\features\account_taps\account\data\models\favourite_ad_model.dart", "Dart", 11, 1, 3, 15
"d:\projects\flutter\49\49-mobile-app\lib\features\account_taps\account\data\models\favourite_category_model.dart", "Dart", 11, 0, 4, 15
"d:\projects\flutter\49\49-mobile-app\lib\features\account_taps\account\data\models\favourite_subcategory_model.dart", "Dart", 11, 1, 3, 15
"d:\projects\flutter\49\49-mobile-app\lib\features\account_taps\account\data\repositories\account_repo_impl.dart", "Dart", 25, 0, 9, 34
"d:\projects\flutter\49\49-mobile-app\lib\features\account_taps\account\domain\entities\favourite_ad_entity.dart", "Dart", 6, 0, 3, 9
"d:\projects\flutter\49\49-mobile-app\lib\features\account_taps\account\domain\entities\favourite_category_entity.dart", "Dart", 6, 0, 3, 9
"d:\projects\flutter\49\49-mobile-app\lib\features\account_taps\account\domain\entities\favourite_subcategory_entity.dart", "Dart", 6, 0, 3, 9
"d:\projects\flutter\49\49-mobile-app\lib\features\account_taps\account\domain\repositories\account_repo.dart", "Dart", 12, 0, 5, 17
"d:\projects\flutter\49\49-mobile-app\lib\features\account_taps\account\domain\usecases\get_favourite_ads_usecase.dart", "Dart", 14, 0, 2, 16
"d:\projects\flutter\49\49-mobile-app\lib\features\account_taps\account\domain\usecases\get_favourite_categories_usecase.dart", "Dart", 14, 0, 2, 16
"d:\projects\flutter\49\49-mobile-app\lib\features\account_taps\account\domain\usecases\get_favourite_subcategories_usecase.dart", "Dart", 15, 0, 2, 17
"d:\projects\flutter\49\49-mobile-app\lib\features\account_taps\account\presentation\cubit\account_cubit.dart", "Dart", 6, 0, 3, 9
"d:\projects\flutter\49\49-mobile-app\lib\features\account_taps\account\presentation\cubit\account_state.dart", "Dart", 7, 0, 4, 11
"d:\projects\flutter\49\49-mobile-app\lib\features\account_taps\account\presentation\cubit\managers\favourite_ads_cubit.dart", "Dart", 29, 0, 6, 35
